colour	x	y	showSelected1	PANEL
#0000FF	-2	1	truth	1
#0000FF	-1.9748743718593	1	truth	1
#0000FF	-1.94974874371859	1	truth	1
#0000FF	-1.92462311557789	1	truth	1
#0000FF	-1.89949748743719	1	truth	1
#0000FF	-1.87437185929648	1	truth	1
#0000FF	-1.84924623115578	1	truth	1
#0000FF	-1.82412060301508	1	truth	1
#0000FF	-1.79899497487437	1	truth	1
#0000FF	-1.77386934673367	1	truth	1
#0000FF	-1.74874371859296	1	truth	1
#0000FF	-1.72361809045226	1	truth	1
#0000FF	-1.69849246231156	1	truth	1
#0000FF	-1.67336683417085	1	truth	1
#0000FF	-1.64824120603015	1	truth	1
#0000FF	-1.62311557788945	1	truth	1
#0000FF	-1.59798994974874	1	truth	1
#0000FF	-1.57286432160804	1	truth	1
#0000FF	-1.54773869346734	1	truth	1
#0000FF	-1.52261306532663	1	truth	1
#0000FF	-1.49748743718593	1	truth	1
#0000FF	-1.47236180904523	1	truth	1
#0000FF	-1.44723618090452	1	truth	1
#0000FF	-1.42211055276382	1	truth	1
#0000FF	-1.39698492462312	1	truth	1
#0000FF	-1.37185929648241	1	truth	1
#0000FF	-1.34673366834171	1	truth	1
#0000FF	-1.32160804020101	1	truth	1
#0000FF	-1.2964824120603	1	truth	1
#0000FF	-1.2713567839196	1	truth	1
#0000FF	-1.24623115577889	1	truth	1
#0000FF	-1.22110552763819	1	truth	1
#0000FF	-1.19597989949749	1	truth	1
#0000FF	-1.17085427135678	1	truth	1
#0000FF	-1.14572864321608	1	truth	1
#0000FF	-1.12060301507538	1	truth	1
#0000FF	-1.09547738693467	1	truth	1
#0000FF	-1.07035175879397	1	truth	1
#0000FF	-1.04522613065327	1	truth	1
#0000FF	-1.02010050251256	1	truth	1
#0000FF	-0.994974874371859	1	truth	1
#0000FF	-0.969849246231156	1	truth	1
#0000FF	-0.944723618090452	1	truth	1
#0000FF	-0.919597989949749	1	truth	1
#0000FF	-0.894472361809045	1	truth	1
#0000FF	-0.869346733668342	1	truth	1
#0000FF	-0.844221105527638	1	truth	1
#0000FF	-0.819095477386935	1	truth	1
#0000FF	-0.793969849246231	1	truth	1
#0000FF	-0.768844221105528	1	truth	1
#0000FF	-0.743718592964824	1	truth	1
#0000FF	-0.718592964824121	1	truth	1
#0000FF	-0.693467336683417	1	truth	1
#0000FF	-0.668341708542713	1	truth	1
#0000FF	-0.64321608040201	1	truth	1
#0000FF	-0.618090452261306	1	truth	1
#0000FF	-0.592964824120603	1	truth	1
#0000FF	-0.567839195979899	1	truth	1
#0000FF	-0.542713567839196	1	truth	1
#0000FF	-0.517587939698492	1	truth	1
#0000FF	-0.492462311557789	1	truth	1
#0000FF	-0.467336683417085	1	truth	1
#0000FF	-0.442211055276382	1	truth	1
#0000FF	-0.417085427135678	1	truth	1
#0000FF	-0.391959798994975	1	truth	1
#0000FF	-0.366834170854271	1	truth	1
#0000FF	-0.341708542713568	1	truth	1
#0000FF	-0.316582914572864	1	truth	1
#0000FF	-0.291457286432161	1	truth	1
#0000FF	-0.266331658291457	1	truth	1
#0000FF	-0.241206030150754	1	truth	1
#0000FF	-0.21608040201005	1	truth	1
#0000FF	-0.190954773869347	1	truth	1
#0000FF	-0.165829145728643	1	truth	1
#0000FF	-0.14070351758794	1	truth	1
#0000FF	-0.115577889447236	1	truth	1
#0000FF	-0.0904522613065326	1	truth	1
#0000FF	-0.0653266331658291	1	truth	1
#0000FF	-0.0402010050251256	1	truth	1
#0000FF	-0.0150753768844221	1	truth	1
#0000FF	0.0100502512562817	1	truth	1
#0000FF	0.0351758793969852	1	truth	1
#0000FF	0.0603015075376887	1	truth	1
#0000FF	0.0854271356783922	1	truth	1
#0000FF	0.110552763819096	1	truth	1
#0000FF	0.135678391959799	1	truth	1
#0000FF	0.160804020100503	1	truth	1
#0000FF	0.185929648241206	1	truth	1
#0000FF	0.21105527638191	1	truth	1
#0000FF	0.236180904522613	1	truth	1
#0000FF	0.261306532663317	1	truth	1
#0000FF	0.28643216080402	1	truth	1
#0000FF	0.311557788944724	1	truth	1
#0000FF	0.336683417085427	1	truth	1
#0000FF	0.361809045226131	1	truth	1
#0000FF	0.386934673366834	1	truth	1
#0000FF	0.412060301507538	1	truth	1
#0000FF	0.437185929648241	1	truth	1
#0000FF	0.462311557788945	1	truth	1
#0000FF	0.487437185929649	1	truth	1
#0000FF	0.512562814070352	1	truth	1
#0000FF	0.537688442211056	1	truth	1
#0000FF	0.562814070351759	1	truth	1
#0000FF	0.587939698492463	1	truth	1
#0000FF	0.613065326633166	1	truth	1
#0000FF	0.63819095477387	1	truth	1
#0000FF	0.663316582914573	1	truth	1
#0000FF	0.688442211055277	1	truth	1
#0000FF	0.71356783919598	1	truth	1
#0000FF	0.738693467336684	1	truth	1
#0000FF	0.763819095477387	1	truth	1
#0000FF	0.788944723618091	1	truth	1
#0000FF	0.814070351758794	1	truth	1
#0000FF	0.839195979899498	1	truth	1
#0000FF	0.864321608040201	1	truth	1
#0000FF	0.889447236180905	1	truth	1
#0000FF	0.914572864321608	1	truth	1
